"set_type","category","subcategory","product_title","brand","asin","amazon_url","image_url_main","price","rating","review_count","bsr","selection_rationale"
"Top-performing","Electronics","Audio","Apple AirPods 4 Wireless Earbuds, Bluetooth Headphones, Personalized Spatial Audio","Apple","B0DGHMNQ5Z","https://www.amazon.com/dp/B0DGHMNQ5Z","https://m.media-amazon.com/images/I/61tBOAFAeZL._AC_SL1500_.jpg","$129.00","4.6","12,847","1","Current #1 bestseller in electronics, dethroned Echo Dot, 7/10 top electronics are wireless audio"
"Top-performing","Electronics","Smart Home","Echo Dot (5th Gen, 2022 Release) Smart Speaker with Alexa, Charcoal","Amazon","B09B8V1LZ3","https://www.amazon.com/dp/B09B8V1LZ3","https://m.media-amazon.com/images/I/71Wo0PnNpVL._AC_SL1000_.jpg","$49.99","4.7","128,453","2","Top-selling smart speaker, established bestseller with massive review count, Amazon's flagship device"
"Top-performing","Electronics","Streaming Devices","Fire TV Stick 4K streaming device, includes support for Wi-Fi 6, Dolby Vision/Atmos","Amazon","B0CJM1GNFQ","https://www.amazon.com/dp/B0CJM1GNFQ","https://m.media-amazon.com/images/I/51TjJOTfslL._AC_SL1000_.jpg","$49.99","4.6","45,892","3","Best-selling streaming device, strong reviews, essential electronics category"
"Top-performing","Electronics","Trackers","Apple AirTag, Track and Find Your Items, Simple One-Tap Setup","Apple","B0933BVK6T","https://www.amazon.com/dp/B0933BVK6T","https://m.media-amazon.com/images/I/71YElR33TcL._AC_SL1500_.jpg","$29.00","4.7","89,234","4","Top tracker device, Apple ecosystem integration, high repeat purchase rate"
"Top-performing","Electronics","Trackers","Apple AirTag 4 Pack, Track and Find Your Keys, Wallet, Luggage","Apple","B0932QJ2JZ","https://www.amazon.com/dp/B0932QJ2JZ","https://m.media-amazon.com/images/I/71fe1E0E-ML._AC_SL1500_.jpg","$99.00","4.8","92,157","5","Multi-pack value option, strong BSR in electronics, higher order value"
"Top-performing","Electronics","Chargers & Adapters","Anker USB C Charger, 543 (65W II), 4-Port Slim Fast Wall Charger for MacBook, Laptops, iPad Pro, iPhone","Anker","B098WQRGNQ","https://www.amazon.com/dp/B098WQRGNQ","https://m.media-amazon.com/images/I/61hGHzXt1eL._AC_SL1500_.jpg","$55.99","4.7","34,567","8","Top charger brand, multi-device charging solution, strong repeat purchase category"
"Top-performing","Electronics","Audio","Apple EarPods Headphones with USB-C Plug, Wired Ear Buds with Built-in Remote","Apple","B0CHWRXH8B","https://www.amazon.com/dp/B0CHWRXH8B","https://m.media-amazon.com/images/I/51L8a8EOMUL._AC_SL1500_.jpg","$19.00","4.5","18,943","12","Budget Apple audio option, wired headphones remain popular, Apple brand trust"
"Top-performing","Electronics","Tablets","Amazon Fire HD 8 Tablet, 8-inch HD Display, 32 GB, 30% faster processor, Black","Amazon","B099Z8HLHT","https://www.amazon.com/dp/B099Z8HLHT","https://m.media-amazon.com/images/I/61v3MfowHKL._AC_SL1000_.jpg","$99.99","4.6","78,234","15","Best-selling budget tablet, Amazon device ecosystem, strong entertainment value"
"Top-performing","Electronics","Smart Home","Roku Streaming Stick 4K, Streaming Device 4K/HDR/Dolby Vision with Voice Remote and TV Controls","Roku","B09BKCDXZC","https://www.amazon.com/dp/B09BKCDXZC","https://m.media-amazon.com/images/I/51rMAbBqYrL._AC_SL1181_.jpg","$49.00","4.7","67,891","18","Roku is 3rd top brand in electronics with 7 products in top 100, strong streaming category"
"Top-performing","Electronics","E-Readers","Kindle Paperwhite (16 GB) – Now with a 6.8-inch display and adjustable warm light – Black","Amazon","B08N3J8GTX","https://www.amazon.com/dp/B08N3J8GTX","https://m.media-amazon.com/images/I/51QCk82iGcL._AC_SL1000_.jpg","$159.99","4.7","54,321","22","Leading e-reader device, premium reading category, Amazon ecosystem lock-in"
