"set_type","category","subcategory","product_title","brand","asin","amazon_url","image_url_main","price","rating","review_count","bsr","selection_rationale","ctr_rationale"
"High-CTR","Electronics","Audio","Beats Solo 4 Wireless On-Ear Bluetooth Headphones, Apple & Android Compatible","Beats","B0D3J9XN7F","https://www.amazon.com/dp/B0D3J9XN7F","https://m.media-amazon.com/images/I/51jKr7P8ZaL._AC_SL1500_.jpg","$199.95","4.6","8,934","35","Rising bestseller in audio category, strong brand recognition","Bold product color (matte cloud pink or slate blue) pops against pure white background | Distinctive 'b' logo prominently displayed on ear cups creates instant brand recognition | 45-degree angled shot shows depth and premium build quality with visible texture | Folded headband position suggests portability and creates visual interest vs straight-on shots"
"High-CTR","Electronics","Power Banks","Anker Portable Charger, 10,000mAh Power Bank, PowerCore Slim with USB-C Input/Output","Anker","B0B2SJ8F6Y","https://www.amazon.com/dp/B0B2SJ8F6Y","https://m.media-amazon.com/images/I/61mSmNZPS+L._AC_SL1500_.jpg","$27.99","4.7","45,678","28","Essential travel accessory, high demand category","Sleek black matte finish with LED indicators creates tech-forward premium appearance | Slim profile shown at angle emphasizes portability and pocketability | Bright LED lights on device add visual pop and functional showcase | Scale comparison implied by size relative to frame suggests compact design"
"High-CTR","Electronics","Security Cameras","Blink Video Doorbell + Sync Module 2, Two-way audio, HD video, motion and chime alerts","Blink","B08SG2N5Y2","https://www.amazon.com/dp/B08SG2N5Y2","https://m.media-amazon.com/images/I/61k9bD7HTLL._AC_SL1000_.jpg","$79.99","4.4","23,456","42","Smart home security category growth, Amazon-owned brand","Two products shown together (doorbell + sync module) demonstrates complete system value | Camera lens prominently featured with realistic perspective catches eye | Black finish with blue LED light creates modern smart home aesthetic | Bundle image suggests higher value and completeness vs single product shots"
"High-CTR","Electronics","Smart Watches","Fitbit Charge 6 Fitness Tracker with Google apps, Heart Rate on Exercise Equipment","Fitbit","B0CCNG7JDQ","https://www.amazon.com/dp/B0CCNG7JDQ","https://m.media-amazon.com/images/I/71kfNu+DLOL._AC_SL1500_.jpg","$159.95","4.3","12,789","48","Fitness wearables trending, health tracking demand","Vibrant color display screen shown with actual UI creates tangible feature showcase | Sleek band color options (obsidian/champagne gold) add premium appeal | 3/4 angle shows both screen and band profile for complete product view | Subtle shadow beneath device adds depth and makes it 'float' on white background"
"High-CTR","Electronics","LED Light Strips","Govee RGBIC LED Strip Lights, 16.4ft Smart WiFi LED Lights Work with Alexa and Google Assistant","Govee","B07N1CMGQQ","https://www.amazon.com/dp/B07N1CMGQQ","https://m.media-amazon.com/images/I/71A8qdZtUSL._AC_SL1500_.jpg","$19.99","4.5","89,234","55","Home decor electronics trending, affordable smart home category","Vibrant multi-color gradient lighting displayed on the strip itself is eye-catching | Coiled arrangement shows product length and flexibility visually | Bright RGB colors (purple, blue, pink, green) create immediate visual impact | Dark background makes illuminated LEDs pop dramatically vs standard white background"
"High-CTR","Electronics","Webcams","Logitech C920x HD Pro Webcam, Full HD 1080p/30fps Video Calling, Clear Stereo Audio","Logitech","B085TFF7M1","https://www.amazon.com/dp/B085TFF7M1","https://m.media-amazon.com/images/I/61x6YLKG2xL._AC_SL1500_.jpg","$69.99","4.6","67,432","62","Remote work essential, consistent demand in home office category","Camera lens centered and prominent with glass reflection shows quality optics | Sleek black finish with modern geometric design appears premium | Clip mount mechanism visible adds functional element and versatility showcase | Front-facing perspective emphasizes the 'eye contact' aspect users care about"
"High-CTR","Electronics","USB Hubs","Anker USB C Hub, PowerExpand 8-in-1 USB C Adapter, 100W Power Delivery, 4K HDMI Port","Anker","B087QZVQJX","https://www.amazon.com/dp/B087QZVQJX","","$59.99","4.6","28,945","71","MacBook/laptop accessory essential, professional use case","All 8 ports clearly visible from angled top-down view demonstrates full feature set | Sleek space gray aluminum finish matches premium laptop aesthetics | Port labels visible on device itself adds informational value in main image | Compact form factor emphasized by perspective vs ruler-style straight shots"
"High-CTR","Electronics","Bluetooth Speakers","JBL Flip 6 - Portable Bluetooth Speaker, Powerful Sound and Deep Bass, IP67 Waterproof","JBL","B09GYN7TYB","https://www.amazon.com/dp/B09GYN7TYB","https://m.media-amazon.com/images/I/71h3KeXoW5L._AC_SL1500_.jpg","$129.95","4.8","54,321","38","Premium portable audio, outdoor entertainment category","Bold color options (teal, red, black) in fabric mesh create visual texture | Cylindrical shape shown horizontally emphasizes portability and size | JBL logo prominently displayed for instant brand recognition | Rugged outdoor aesthetic with visible details like carabiner loop suggests durability"
"High-CTR","Electronics","Gaming Accessories","SAMSUNG T7 Portable SSD, 1TB External Solid State Drive, Speeds Up to 1,050MB/s","Samsung","B0874YS2N7","https://www.amazon.com/dp/B0874YS2N7","https://m.media-amazon.com/images/I/91nRmxY7fgL._AC_SL1500_.jpg","$119.99","4.8","112,345","45","Essential gaming/pro storage, high review count indicates strong sales","Metallic finish in titan gray or indigo blue adds premium tech aesthetic | Ultra-compact size emphasized by elegant minimal design | Subtle lighting on edges creates dimensional depth and modern appeal | Credit-card sized form factor visually communicated through proportions"
"High-CTR","Electronics","Smart Plugs","Kasa Smart Plug Mini 15A, Smart Home Wi-Fi Outlet Works with Alexa, Google Home (4-Pack)","Kasa","B07RCNB2L3","https://www.amazon.com/dp/B07RCNB2L3","https://m.media-amazon.com/images/I/61l5yIwBktL._AC_SL1500_.jpg","$27.99","4.7","98,765","52","Smart home starter category, multi-pack value, high review volume","4-pack arrangement shows value and quantity immediately | Clean white finish matches home outlet aesthetics and blends in | Blue LED indicator light on each plug adds tech element and functionality showcase | Grid layout of multiple units creates visual pattern that's more engaging than single product"
